,average_state1,fidelity,rotation_angle,threshold,qubit,assignment_fidelity,average_state0
0,(-0.0001425723284482956-0.0005930572350819906j),0.727,-1.646776634082909,0.0003855139523197204,1,0.13649999999999995,(-0.0001246903178592523-0.00035815970723827677j)
1,(0.0015654905314246813+0.0021019549841682114j),0.9853333333333333,1.259910613288602,0.0031783688666734834,2,0.007333333333333303,(0.0011747067806621393+0.0008857133872807025j)
2,(-0.0017344948649406432-0.003100320282081763j),0.877,-1.7151949654955652,0.0010495724203721042,3,0.0615,(-0.0015028446142872174-0.001507244569559892j)
3,(0.0006098711341619491+0.0007157413872579733j),0.343,2.476908074562068,0.0007482549761447658,4,0.6715,(0.0009256044067442417+0.0004683205944796403j)
